,id,rated,turns,victory_status,winner,increment_code,white_id,white_rating,black_id,black_rating,moves,opening_eco,opening_name,opening_ply,game_time
0,fyfWyjj2,True,56,resign,black,10+6,mindworm,2180,lolmens,2134,d4 Nf6 c4 c6 d5 e6 Nc3 Bb4 Bg5 Bxc3+ bxc3 O-O Nf3 d6 e4 h6 Bh4 g5 Nxg5 hxg5 Bxg5 exd5 Qd4 Nbd7 cxd5 cxd5 Bb5 Re8 f3 Qa5 Rb1 Nxe4 O-O Nxg5 Qxd5 Re5 Qxd6 Rxb5 Rxb5 Qxb5 Qg3 Kh7 Qh4+ Kg7 f4 Ne4 f5 Ndf6 g4 Qb6+ Kh1 Bd7 g5 Bc6 gxf6+ Nxf6+,A50,Slav Indian,4,912271
1,QmCyfnNZ,True,55,resign,white,10+0,philipp_0x,1291,alywezza,1326,Nf3 c5 d4 cxd4 Nxd4 d5 g3 Nc6 c3 Nf6 Bg2 e5 Nxc6 bxc6 O-O Bc5 b4 Bb6 Nd2 Bg4 h3 Bh5 Nf3 e4 Ne5 Qd6 Bf4 Qe6 Qa4 Rc8 b5 Bc7 Nxc6 Bxf4 gxf4 O-O Qxa7 Rfe8 Nd4 Qd6 b6 Ra8 Qc7 Qxc7 bxc7 Rec8 Nb5 Ne8 Rfd1 Bxe2 Rxd5 Nxc7 Nxc7 f5 Nxa8,A04,Zukertort Opening: Sicilian Invitation,2,824448
2,X1hUH5gY,True,2,resign,white,180+180,chiggen,1291,drakon1,965,e4 d5,B01,Scandinavian Defense,2,5578
3,xfD25ZBl,True,111,resign,white,9+5,khelil,1611,gleb763,1418,e4 e5 Bc4 c6 Qh5 d5 exd5 cxd5 Bb5+ Nc6 Qxe5+ Be6 Nc3 a6 Bxc6+ bxc6 d4 Bd6 Qxg7 Qf6 Qxf6 Nxf6 Bg5 Nh5 Nf3 f6 Bh4 Nf4 O-O Rg8 g3 Bh3 Rfe1+ Kf7 Ne2 Ng6 b3 Nxh4 Nxh4 f5 c4 f4 cxd5 fxg3 fxg3 cxd5 Ng2 Bb4 Rf1+ Ke6 Nef4+ Kd6 Nxh3 h5 Nhf4 Bc3 Rac1 Bxd4+ Kh1 a5 Rcd1 Bb6 Rxd5+ Kc6 Rc1+ Kb7 Rxh5 Rgc8 Rh7+ Ka6 a4 Rxc1+ Ne1 Rxe1+ Kg2 Re3 Nd5 Re2+ Kf3 Rf8+ Kxe2 Rf2+ Ke1 Rb2 Rh6 Rxb3 Nxb6 Rb1+ Kf2 Ra1 Nc4+ Kb7 Nxa5+ Kc7 Rh4 Kd7 Kg2 Ke7 Kh3 Kf7 Rf4+ Kg6 Nc6 Kg5 Nd4 Rxa4 Nf3+ Kh5 Rxa4 Kg6 Kg4,C23,Bishop's Opening: Philidor Counterattack,4,1015740
4,BFo44qd4,True,25,mate,white,10+0,elvis1997,2168,kabuto87,1650,e4 Nc6 d4 d5 e5 Qd7 Be2 Qe6 c4 dxc4 d5 Qxe5 Nf3 Qd6 dxc6 Qxc6 O-O Bg4 Qd4 Nf6 Ne5 Qe6 Bxc4 Qf5 Bxf7#,B00,Nimzowitsch Defense: Scandinavian Variation |  Advance Variation,5,298005
5,v6nJBrSq,True,60,resign,black,10+0,toya83,1588,chesskhovtsev,1585,d4 d5 Bg5 f6 Bh4 c5 Nf3 Nc6 e3 Nh6 Nbd2 Nf5 Bb5 Bd7 O-O Nxh4 Nxh4 cxd4 exd4 Nxd4 Bxd7+ Qxd7 Ndf3 Nxf3+ Nxf3 e5 c4 dxc4 Qxd7+ Kxd7 Rfd1+ Kc7 Rd5 Rd8 Ra5 a6 Ra3 Bxa3 bxa3 Rd3 Rc1 b5 a4 Rhd8 Kf1 Rd1+ Rxd1 Rxd1+ Ne1 Ra1 axb5 axb5 g3 c3 Ke2 Rxa2+ Kd3 Rxf2 Kxc3 Rxh2,D00,Queen's Pawn Game: Levitsky Attack,3,429670
6,3OsAGS9G,True,52,outoftime,black,10+0,mohamedn,1435,shakes,2042,d4 d5 Nf3 Nf6 e3 c5 Ne5 Nc6 Nf3 Bf5 Bb5 e6 h3 Be7 Ne5 Qb6 Qe2 O-O Nxc6 bxc6 Ba4 cxd4 exd4 Qxd4 c3 Qxa4 Qf3 Be4 Qg3 Qa6 Bh6 Nh5 Qg4 Bg6 Nd2 Nf6 Qf4 Bh5 f3 gxh6 Qxh6 Rfb8 Qg5+ Bg6 h4 Rxb2 Rd1 Qd3 Qe5 Bf8 Qc7 Bh6,D04,Queen's Pawn Game: Colle System,5,10000000
7,w3mg4uBK,True,58,resign,black,10+0,ara9000,1542,vic_mark,1530,e4 c6 Nf3 d5 exd5 cxd5 d4 Nc6 Bd3 Nf6 Be3 e6 Nbd2 Be7 O-O O-O c3 Qc7 Qc2 Bd7 Bg5 h6 Bxf6 Bxf6 h4 e5 g4 e4 Nxe4 dxe4 Bxe4 Qf4 g5 hxg5 hxg5 Bxg5 Nxg5 Qg4+ Bg2 Qxg5 f3 Ne7 Kf2 Qh4+ Ke2 Rfe8 Kd2 Bf5 Qb3 Qg5+ Kd1 Qxg2 Re1 b6 Rc1 Ng6 Rxe8+ Rxe8,B10,Caro-Kann Defense,2,382530
8,nhjNfnGF,True,45,resign,white,10+0,lahayejose012,1692,yarbis,1645,d4 Nf6 Bf4 d5 Nf3 c5 c3 b6 e3 a5 a4 Ba6 Be2 Bxe2 Qxe2 Na6 Qb5+ Nd7 Ne5 Nb8 O-O e6 Nc6 Nxc6 Qxc6 Be7 h3 O-O Nd2 Nb8 Bxb8 Rxb8 Qb5 Qd6 Nf3 cxd4 cxd4 Rfc8 Rac1 Rc7 Rxc7 Qxc7 Ne5 Rb7 Qe8+,D02,Queen's Pawn Game: London System,5,491225
9,9R2EChWf,True,95,resign,white,10+0,david453,1686,fernandoarge,1745,e4 c6 Nf3 d5 exd5 cxd5 Nc3 Nf6 d4 Bg4 Bg5 e6 Bxf6 Qxf6 Be2 Nc6 Nb5 Rc8 O-O a6 Nc3 Bxf3 Bxf3 Nxd4 Re1 Nxf3+ gxf3 Bd6 Nxd5 Qg6+ Kf1 O-O Nb6 Bxh2 Nxc8 Rxc8 Qd7 Qg1+ Ke2 Rxc2+ Kd1 Rd2+ Kxd2 Qxf2+ Re2 Bf4+ Kc3 Qc5+ Kb3 Qb6+ Kc2 Qc5+ Kd1 Qg1+ Re1 Qc5 Qd8+ Qf8 Qxf8+ Kxf8 Re4 g5 Ke2 h5 Rd1 Ke7 Red4 h4 Rd7+ Kf6 Rxb7 h3 Rh1 h2 Kf2 e5 Kg2 e4 fxe4 g4 Rb6+ Ke5 Rxa6 g3 Ra5+ Kxe4 Ra4+ Ke3 Re1+ Kd2 Rxf4 Kxe1 Rf3 Kd2 Rxg3,B10,Caro-Kann Defense,2,489621
